a'dād	numbers; pl of adad
daqiq-o moxtasar kardan	precise
daqiqan	exactly; precisely; accurately
daqiqe	minute
daqiqe (daqāyeq)	minute
daqiqešomār	minute hand
daqāyeq	minute; punctilio
dar	at; to; door; doorjamb; valvate; doorpost; pylon; wicket; plug; in
dar ab foru bordan	soak; submerge
dar amal	in practice; practically
dar amān	secure; immune; safe
dar anbār negahdāri kardan	store
dar arz-e	within
dar arze yek sāl	within one year; during one year
dar asar-e	in effect
dar asar-e zahmat-o kār ijād kardan	work out
dar asl	originally
dar atrāf-e	around; about; circa
dar badan foru kardan	flesh
dar bar	contained; on
dar bar dāštan	comprise; bear; comport; contain; embody; encircle; include
dar bar gereftan	encompass; embrace; infold; snuggle; enclasp; enfold
dar bar gereftan (gir)	contain; include
dar bar kardan	wear
dar barābar	against; to; versus
dar bastan	close the door; lock the door
dar beyn-e	between; among
dar bālā	above; over; atop; o'er
dar bālā-ye	atop
dar bāre-ye	about; concerning
dar bāz kardan	open the door
dar bāzār dādosetad kardan	market
dar ciz-i rā gereftan	plug
dar daftar vāred kardan	register
dar daraje-ye avval	first; primarily
dar darun-e	within
dar dast dāštan	hold
dar dast gereftan	take; hold
dar dast-e eqdām	ongoing
dar dastres budan (hast, bāš)	be available
dar dāxel-e	within
dar ehterāz budan	fly
dar emtedād-e	along
dar extiyār dāštan (dār)	have; possess
dar eyn-e hāl	at the same time; yet
dar fehrest vāred kardan	enroll; list; enrol
dar gerowgān	pledge
dar gozaštan	decease; die; pass away
dar har	per
dar har surat	anyway; anyhow; in any case
dar havā-ye āzād	outdoor;  alfresco;  open air;  out-of-door
dar hin-e	while
dar hodud-e	about; within; circa; well-nigh; almost; around
dar hā-el zohur	emerging
dar hāl-e hāzer	now; currently
dar hāl-e kār	functional
dar hāl-e pišraft	ongoing
dar hāl-e tavaqqof par zadan	hover
dar hāl-i ke	while; whereas; whilst
dar in fāsele	in the meantime
dar in miyān	in the meantime; meanwhile
dar Internet parse zadan	surf
dar jahat-e	in the direction; of; with
dar javāb ājez kardan	confuse; flummox
dar jā-ye avazi gozāštan	misplace
dar kardan	loose; shoot; discharge
dar kenār-e	alongside; next to
dar kenār-e ham	together; side by side
dar kešidan	absorb; imbibe; inbreathe
dar kešti gozāštan	embark
dar kešti savār kardan	embark
dar list sabt kardan	list
dar madār-i safar kardan	circuit
dar mahdude-ye	within
dar manāteq-e rustāyi	in rural areas
dar marta' parvareš-e ahšām kardan	ranch
dar ma'raz gozāštan	expose; subject
dar ma'raz-e	open; disposable
dar ma'raz-e bād gozārdan	wind
dar ma'raz-e foruš qarār dādan	market
dar ma'raz-e namāyeš qarār dādan	exhibit
dar miyān gozāštan	enclose; insert
dar miyān-e	among; between; amongst; amid; across; amidst; midst
dar miyān-e sohbat davidan	break in
dar miyān-e xod paziroftan	adopt; affiliate
dar moddat-e yek šab	overnight
dar moddat-e šab	overnight
dar mojāverat budan	join
dar moqābel-e	in return; against; versus; vs
dar moqābel-e dārā	have
dar mosābeqe-ye hazfi šerkat kardan	play off
dar mowred-e	about; concerning
dar māndan	fail
dar natije	thereby; as a result; consequently
dar nazar dāštan	contemplate; envisage; purpose; plan
dar nazar gereftan	consider
dar notfe xafe kardan	nip in the bud
dar oftādan	oppose
dar pey	seeking a; after
dar piš dāštan	plan
dar pošt-e	behind
dar pošt-e sanad neveštan	endorse
dar qebāl-e	for
dar qeyr-e in surat	otherwise
dar qāleb qarār dādan	cast
dar raftan	go off; abscond; escape; scuttle
dar ru-ye	atop
dar rāh	on the way
dar sadad budan	figure on; go
dar sadad-e	seeking to; about; after
dar saf istādan	queue
dar sartāsar-e jahān	worldwide
dar sath-e bālā	sophisticated
dar senn-e bistsālegi	at the age of twenty
dar surat-e lozum	in case of need
dar surat-i ke	in the event that; while; provided;  provided; in case; whereas
dar sāl-e gozašte	last year
dar sāye	in the shade; in the shadow
dar tabotāb budan	glow
dar tardid budan	hover
dar tey-e	during; pending; course
dar tey-e ruz	during the day
dar tul-e	during the; during
dar vāqe'	indeed; actually
dar xalvat	aside
dar xelāl-e	while
dar xāne	at home
dar yek zamān ettefāq oftādan	coincide
dar yāftan	find out;  understand;  discover;  apprehend;  realize;  apperceive; understand; discover; apprehend; realize; apperceive; perceive
dar zadan	knock
dar zamin qarār dādan	plant
dar zamine	in the field of
dar zarf-e	within
dar zaxire negāh dāštan	spare
dar zeyl āmadan	follow
dar āmadan	eventuate; burgeon; enter; erupt; measure; prove
dar āqol kardan	fold
dar āquš gereftan	embrace; hug; clasp; cuddle; embosom; enclasp
dar āqāz	in the beginning; initially
dar āstin dāštan	sleeve
dar ātaš-e šahvat suxtan	burn
dar āvardan	evolve; doff; erupt; exsect; gouge; render
dar āyande	in the future
dar āšāmidan	absorb
dar šab	at night
dar šahr-e širāz	in the city of Shiraz
dar šegeft šodan	admire; wonder
dar'amal	in practice; onstream
dar'avaz	instead; anti-
dar-e aqab	back door
dar-e asli	main entrance
dar-e botri	bottle cap
dar-e far'i	side entrance
dar-e jānebi	side entrance
dar-e kešowi	sliding door
dar-e otomobil	car door
dar-e pošt	back door
dar-e vorudi	entrance; entry
dar-e xoruji	exit
dar-e xāne	door
dar-zir-qarār-gerefte	underlying
daraje	degree; grade; rating; point; scale; gauge; measure; step
daraje (darajāt)	degree; grade
daraje yek	first class; classy
daraje-ye doktori	doctorate; PhD
daraje-ye harārat	temperature
daraje-ye sāntigerād	Degrees Celsius
daraje-ye tondi	speed
darajebandi	grading; calibration; gradation
darajedār	petty officer; graduate; sergeant; noncommissioned officer
darajeharārat	temperatures; temperature
daraje dādan	rank
darajebandi kardan	gradate; grade; graduate
darajāt	degrees; pl of daraje
daramad-e sāliyāne-ye zamin	purchase
darande	predatory; predator; fierce; lupine; lupin
darasl	originally
daravaz	instead
darb	door; port
darband	captive; canyon
darbardārande	containing
darbargerefte	included
darbargirande	covering
darbargiri	inclusion
darbedar	homeless; gadabout; mendicant; outcast; vagabond
darbedari	homeless; errantry; itineracy
darbodāqun	broken; shattered
darbān	concierge; doorman; porter
darbān-e hotel	concierge
darbār	court
darbāri	courtier
darbāzkon	doorkeeper; doorman; opener
dard	pain; ache; agony; distress; affliction; shoot
dard dāštan	have pain
dard gereftan	pain; hurt
dard kardan	shoot; pain; hurt
dard kardan (kon)	hurt
dard āvardan (āvar)	pain; hurt
dard-e kamar	lumbago
dard-e me'de	stomach ache
dard-e qorbat	homesickness
dard-e saxt	gripe; pang; strain
dard-e zāyemān	labor; travail; labour; labor pains
dardasteeqdām	ongoing
dardastres	available; accessible; attainable; disposability
dardesar	trouble; headache; inconvenience
dardesarsāz	trouble maker
dardmandi	suffering
dardnāk	painful; grievous; sore
dardāvar	painful; achy
darebtedā	at first; early; initially
daredāme	in the following
darezā-ye	in exchange for
dareštebāh	completely wrong
dargiri	involvement; conflict; dispute
dargozašt	passing
dargozaštan (gozar)	die
darham	mixed; tangled; garbled; shaggy; dramatic; indistinct; confused
darham kardan	mix
darham kubidan	smash
darham šekastan	break down;  overwhelm;  smash;  vanquish;  crash;  force; overwhelm; smash; vanquish; crash; force
darham-barham	confused
darhami	complexity
darhamrixte	cluttered; mixed; wild and woolly
darhamāmixte	intermingled
darhamšekaste	shattered
darhaqiqat	in fact; actually; yea; whereas
darharhāl	anyway; willy-nilly
darharsurat	anyway; anyhow; ever
darhāl	loading
darhālehāzer	at the moment
darhālerošd	growing; developing
darhāletowsee	in process
dari-vari	gossip
darice	valve; window; gate; vent; hatch; lid; choke
darice-ye etminān	safety valve
darice gozāštan	lid
daridan	rip; tear; slit
daridan (dar)	rip; tear
darinbeyn	in between
darinbāre	about it; herein; here
darinhāl	in the meanwhile
darinrābete	in this regard
darinsurat	in this case
darinzemn	meanwhile; meantime
dariq	woe
dariq dāštan	withhold; spare
dariqā	alas; alas!
darj	inserts; interpolation; embodiment
darjšode	listed
dark	perception; realization; apprehension; comprehension
dark kardan	understand;  comprehend;  realize;  perceive;  appreciate;  fathom; comprehend; realize; perceive; appreciate; seize; fathom; catch; follow; hear
dark-e qalat	misunderstanding
darkoll	generally
darmajmu'	overall; altogether; in total
darma'razgozāri	exposure; disposal
darmān	treatment; therapy; remedy
darmān kardan	treat; remedy
darmān šodan	treat
darmānde	helpless; forlorn
darmāndegi	inability; insolvency
darmāndegi	insolvency; inability; prostration
darmāngāh	clinic
darmāni	therapeutic; remedial
darmānnāpazir	immedicable
darmānšenās	therapist; therapeutist
darmānšode	cured
darmāngar	therapist
darmāngāh	clinic; infirmary
darnahāyat	eventually; finally; ultimately
darnatije	as a result; as; at; thereupon; thus; therefore
darnavardide	swept
daroftāde	fell
darraftan	escape; dislocate
darrafte	shotten
darraftegi	strain; dislocation
darraftegi	dislocation
darre	valley; vale; mote
darresidan	accomplishing; arrive; befall
darrow	egress;  exhaust;  exit;  outlet;  port
dars	lesson; study; lecture
dars (dorus)	lesson; study; lecture
dars dādan	teach; school
dars dādan (deh)	teach
dars xāndan	study; learn
dars xāndan (xān)	study; learn
darsad	percent; percentage; cent
darsxān	studious
darsxānde	educated
darsāni	secondly
darun	inside of; inside; inward; in
darun(-e)	in; inside
darunbini	insight
darungozāšt	input
daruni	inner; internal; innermost; inward; interior; subjective; indoor
darunmāye	themes
darunnegar	introspective
darunnegari	introspection
darunriz	self inner; endocrine; influent
darungerā	introverted
darungerāyi	introversion; introspection; subjectivism
darviš	dervish; mendicant
darvāqe'	actually; indeed
darvāze	gate; gateway; goal; portal
darvāze-ye šahr	city gate
darvāzebān	goalkeeper; gatekeeper; goal
darxor	worthy; appropriate; befitting; fit; meet; tailored; opportune
darxor budan	befit; become
darxāst	applying for; request; application; demand; appeal; solicitation; requisition; suit
darxāst dādan	apply;  plead
darxāst kardan	request;  apply;  plead;  solicit;  beg;  bone; apply; plead; solicit; beg; bone; pray
darxāstkonande	applicant; applicator; demandant
darxāstnāme	application
darxāteme	finally
daryā	sea; holm; mare; flood; channel; mere
Daryā-ye Bāltik	Baltic Sea
Daryā-ye Xazar	Caspian Sea
Daryā-ye šomāl	North Sea
daryābande	receiving
daryābān	vice-admiral; flag officer; lieutenant commander
daryāce	lake; pond; loch
daryādār	admiral; flag officer; rear-admiral
daryāft	reception; receipt; perception
daryāft kardan	receive; cash; draw; pull down; recover
daryāftan	deduce; understand; find out; perceive; comprehend
daryāftani	downloads; comprehensible
daryāfte	found
daryāfti	received; perceptual; bank acceptance
daryāftkonande	recipient; receiver; getter
daryāftšode	received
daryākenār	beach; seaside; coast
daryānavard	sailor; navigator; seagoing
daryānavardi	sail; seafaring; seacraft
daryānešin	pelagic; pelagian
daryāsālār	admiral; fleet admiral; flag officer
daryāyi	marine; maritime; nautical; gyrene
daryāzade	sea €‹€‹sick; seasick
daryāzadegi	seasickness
darz	seam; suture; gap; fissure; crevice; slit
darzemn	in addition; meanwhile; meantime; connotative
darzgiri kardan	lute; seal
darāmad	earnings; income; revenue
darāmad-e melli	national income
darāmad-e nāxāles	gross income
darāmad-e xāles	net income
darāmadan	get out
darāmixte	mixed
darāmixtegi	intersection
darāqāz	in the beginning
darāvardan (āvar)	take out; evolve
darāxar	at the end; finally
dargerefte	erupted
dargerow	depend on
dargir	involved; outbreak
dargiri	clash; involvement; contention
dargozašt	death
dargāh	port; doorway
dasise	conspiracy; plot; machination; complot; trafficker; frame-up
dast	hand; arm; handshake; paw; team; set
dast andāxtan	tease; tantalize; josh
dast bar dāštan	desist; stop
dast bordan	falsify
dast dādan	shake hands
dast kešidan	cease; desist; resign; demit; knock off; discard; quit; leave; disaccustom; give over; stop
dast kešidan ru-ye	stroke
dast tekān dādan	wave
dast yāftan	achieve; attain; accede; reach
dast zadan	touch; handle; applaud
dast-e navāzeš kešidan	pat
dast-e rāst	right-hand
dastaavval	first hand; first-hand
dastandarkār	involved
dastandāz	bump; puddle; bumpiness; pothole
dastband	a bracelet; bracelet; wristband; handcuff
dastbegaribān šodan	wrestle
dastbekār	act now
dastbekār šodan (šav, šow)	start working
dastbord	robbery; rapine; defalcation
dastbord zadan	rob; steal; defalcate
dastbāf	handmade; handwoven
dastcin	handpicked
dastduz	handmade
daste	category; class; handle; clique; gang; genre; batch; squad; host; pack; set; group
daste kardan	bundle; cluster
daste-daste	in groups
daste-ye moxālef	opposition
daste-ye sandali	armrest
daste-ye xānandegān	chorus
dasteavval	first-hand
dastebandi	grouping; division; assortment; rating; faction; junta
dastedovvom	second-hand
dastedovvomforuši	second-hand shop
dastedār	handle
dastegol	bouquet
dastejam'i	mass; all together; social
dastejam'i	collective; together
dastekam	at least; minimum; leastwise; after all
dastekam gereftan	underestimate; underrate; minimize; downgrade; understate
dastekelid	keychain
dasterāsti	right
dastexāli	bare hands; empty-handed
daste gozāštan	haft; handle
daste setāyi	leash
dastebandi kardan	categorize; classify; grade; rank
dasteāxar	finally
dastegol	flowers; bouquet; nosegay
dastforuš	vendor; peddler; crier; vender; badger; duffer
dastforuši	street peddler; colportage
dastgir	arrested
dastgir kardan	nab; catch; arrest; capture
dastgir kardan (kon)	arrest
dastgiri	capture; arrest
dastgāh	device; machine; apparatus; machinery
dastgāh-e girande	receiver
dastgāh-e peres	press; mangle
dastgāh-e tahviyematbu'	air conditioning; air conditioner
dastgāh-e tanzim-e zarabān-e qalb	heart pacemaker
dastgāh-e ta'dil-e garmā	register
dastgāh-e xodkār	robot
dastgāh-e zabt-o paxš-e video	video recorder
dasti	handy; manual; portable; hand worked
dastkeš	gloves; glove; chevron
dastkāri	manipulation; handwork; attaint
dastkāri kardan	manipulate; retouch
dastkāri-ye takmili	finish
dastmozd	wage; fee; stipend
dastmāl	napkin; handkerchief; kerchief
dastmāl kešidan (keš)	wipe
dastmālgardan	handkerchief; Ascot; neckerchief; shawl; tie
dastmāli	scrabble; grope
dastmālkāqazi	napkin; kleenex; towel; tissue
dastmālsofre	napkin; serviette
dastmālgardan	ascot; handkerchief; neckerchief
dastnaxorde	undisturbed; intact; virgin; untouched
dastnayāftani	unattainable
dastnevešte	manuscripts
dastnevis	handwritten
dastnešānde	puppet; stooge; figurehead
dastodelbāz	generous; spendthrift; free-hearted; scattergood
dastodelbāzi	generous
dastopāgir	cumbersome
dastpāce	confused; panicky; hurried
dastpāce kardan	overwhelm; baffle; fluster; confuse; abash; incommode;  baffle;  fluster;  confuse;  abash;  incommode
dastpācegi	awkwardly; confusion; bafflement
dastres	access; disposal
dastresi	access; availability; accessibility
dastresi peydā kardan	get access; reach
dastresi yāftan	get access; reach
dastresipazir	accessibility
dastur	order; rule; behest; injunction; direction; formula
dastur (dasturāt)	command; instruction; order
dastur dādan	intuit; direct; address; instruct; command; order
dastur-e jalase	agenda
dasturekār	agenda; program; agendum
dasturezabān	grammar
dasturi	grammatical; imperative; directorial
dasturol'amal	directions; recipe; instruction
dasturolamal	instructions
dasturzabān	grammar
dastxat	handwriting; hand; writing; script; manuscript; longhand
dastxat(t)	handwriting
dastxatt	handwriting; hand; writing
dastxorde	disturbed
dastxoš	prey; victim;  victim
dastxoš sāxtan	prey
dastxoš šodan	undergo
dastxoš-e pišāmad budan	drift
dastyābi	access; achievement; attainment; achieving; gaining
dastyāftani	achievable; accessible
dastyāfte	achievement
dastyār	aide
dastār	turban
dastāvard	achievements; result; consequence
dastāviz	excuse; pretext; document; voucher
dastšuyi	wc; lavatory; basin
dastšuyi-ye āšpazxāne	sink
dastgarmi	warm-up
dastgir	arrested; captive; charitable
dastgire	knob; stele; catch; belay; handhold; handgrip
dastgiri	capture; apprehension; charity
dastgiršode	arrested
dastgāh	device; machine; apparatus; system; machinery; mechanism; plant; set
dasāes	intrigues
davande	runner; running; runny
davandegi	running
davarān	rotation; circulation
davarān kardan	rotate
davarāni	rotational; revolving; vertiginous
davidan	run; race; leap; trig
davidan (dav, dow)	run
davidan (dow)	run
davvār	rotary; rotational; rotative
davā	medicine; medicament
davā dādan	dose; physic
davā zadan	drug
davām	durability; permanence; life
davām kardan	last; wear
davām yāftan	run
davāmdār	continued
davāpāši	spray
davāt	inkwell; inkstand; well
davāzdah	twelve
davāzdahom	twelfth
davāzdahomin	twelfth
davāzdahsālegi	age of twelve years
daxl	earnings; income; pertinence
daxl dāštan	import
daxlotasarrof	manipulation
daxloxarj	income and expenses
daxme	crypt; tower of silence
da'vat be jang	challenge
da'vat kardan	invite; ask; bid
da'vat kardan (kon)	invite
da'vi kardan	pretend; quarrel; sue
da'vi-ye qazāyi	litigation
daāvi	claims
dašt	plain; desert; field; flat; moor; pampas
defā'	defense; advocacy; pleading; vindication; apologia; answer
defā' kardan	defend
defā-e mašru'	self-defense
defā-e melli	civil defense
defā-e qeyrenezāmi	civil defense
defāi	defensive; apologetic; vindicative
defāiyye	defense; reply
defāiyyāt	defense
defā' kardan	advocate; bield; ward off; answer; buckler; defend; vindicate; assert; champion
degargun kardan	transform; alter; metamorphose; vary; change
degargun sāxtan	turn
degargun šodan	alter
degarguni	change; transformation; alteration
deh	village
deh (dehāt)	village
dehande	donor; giver; transferor
dehestān	rural district
deheš	donation; give; liberality; largess; munificence
dehkade	village
Dehkade-ye Olampik	Olympic Village
dehliz	corridor; vestibule
dehnešin	villager
dehqān	farmer
dehqāni	peasant; bucolic
dehāt	rural; country; pl of deh
dehāti	doric; peasant; villager; rustic; boorish
dehšatnāk	horrendous
deklame	reciting
dekolte	decolletage
dekor	decor
dekorāsiyon	decoration
dekorāsiyun	decorations
dekorātor	decorator
del	heart; midst; spunk; conscience
del b-e daryā zadan	risk
del be dast āvardan	indulge
del kandan	abandon
del xāstan	like
del xāstan (xāh)	like
delangiz	pleasing; delightful
delangiz	pleasing
delband	beloved
delbar	mistress; soulmate; sweetheart
delbari	coquetry
delbaste	attached
delbaste šodan	attach
delbastegi	interest
delbastegi	attachment; interest
delbexāh	arbitrary
delbāxte	lovesick
delbāz	friendly
delcasb	hearty; meet
deldard	abdominal pain; stomach ache; bellyache
deldāde	inamorata
deldāri	consolation
deldāri dādan	comfort; console
deldāri dādan (deh)	console
delfarib	seductress; cute; lovely
delfin	dolphin; larkspur
delgarm kardan	encourage
delgarmi	encouragement; confidence
delgarmkonande	encouraging
delhore	apprehension; presentiment
deljuyi kardan	soothe
delkaš	attractive; orphic; winning
delko	distributor
delmorde	low-spirited
delmordegi	dejection
delnavāz	smooth; orphic
delnešin	pleasant; lovely
delnegarān	worried
delnegarāni	concerns
delnāzok	touchy; tender-hearted
delojor'at	pluck; heart
delorude	gut; purtenance
delpazir	pleasant; nice; mellow; lovely
delpazir kardan	please
delpice	cramps; stomach cramp
delrahm	kindhearted
delrobā	enchanting; fetching; charming; charmer
delrobāyi	oomph; charm; mash
delrobāyi kardan	fascinate
delsard	despondent; washed-up; disappointed; discouraged
delsard kardan	discourage; dishearten; dissuade; unnerve; disappoint; estrange
delsardi	discouragement; despondency; despondence; disappointment
delsardkonande	chilling
delsaxt	hard-hearted
delsepordegi	cit
delsepāri	dlspary
delsuxte	heartbroken
delsuz	compassionate; sympathetic; piteous; pitier; merciful
delsuzi	compassion; sympathy; commiseration
delsuzāne	compassionate
deltangi	miss; gloom; desolation
delvāpas	anxious; solicitous; worried
delvāpasi	anxiety; worry; inquietude; turpitude; care
delxarāš	irritant; gruesome
delxor	sulky; chapfallen
delxor kardan	offend; annoy
delxor šodan	resent
delxori	annoyance; offense; offence
delxoš	gamesome
delxoši dādan	cheer
delxāh	arbitrary; ideal; wish; accord
delyuyi	appeasement; affability; propitiation
delzende	merry
delālat	implication; indication; symbolization
delālat-e zemni kardan	connote; imply
delālatkonande	suggestive; indicative; connotative
delāvar	brave; gallant; valiant; knight; hero; warrior
delāvari	prowess; courage; valor
delāvarāne	valiantly
delāzorde	heartsick
delāšube	nausea
delšekaste	broken heart; gaga; heartbroken
delšure	worry
delgarm	confident; earnest
delgarmi	encouraged; assurance; encouragement
delgarmkonande	encouraging
delgir	poky; pokey; heart-rending
demode	old-fashioned; out-of-date
demokrāsi	democracy
demokrāt	democratic
demokrātik	democratic
denj	cozy; reclusive; snug; pleasant
depātrtemān	department
deqqat	accuracy; precision; resolution;  precision;  resolution;  attention;  punctuality;  exactitude; attention
deqqat kardan	pay attention
derafš	awl; banner; forthcoming
derang kardan	tarry; demur; stick around; hesitate; let; linger
derang	pause; hesitation; tarry; halt; hesitancy; hesitance
deraxt	tree
deraxt-e alvāri	timber
deraxt-e anār	pomegranate tree
deraxt-e balut	oak tree
Deraxt-e Kerismas	Christmas tree
deraxt-e qār	laurel
deraxt-e xormā	date palm
deraxt-e šāhbalut	chestnut tree
deraxtkāri	arboriculture
deraxšande	radiant; resplendent; effulgent
deraxšandegi	brilliance; radiance; luster; sheen; blaze; irradiance
deraxšeš	shine; sparkle; luster; luminosity; glitter; scintillation
deraxšidan	shine; star; glint; glister; luster; sheen; glitter
deraxšān	bright; shining; luminous; shiner; bertha
dereyl	drill
derow	harvesting
derow kardan	harvest; reap
derām	drama
derāmātik	dramatic
derāyat	tact
derāz	long; lengthy; verbose; toon; string; macro-; longish; oblong; linear
derāz kardan	lengthen; extend; elongate; protract; porrect; prolong
derāz kešidan	lie down; lie; repose
derāzi	long; length
derāzmoddat	long-term; long-range; long-dated; long-time
derāzā	length; longitude
deser	dessert
desāmbr	December
desāmr	December
devist	two hundred
dexālat	interference; hand; interposition
dexālat kardan	interfere; participate; admix; intromit
dey	Iran. Calendar, 10th month
deylam	jimmy; crowbar
deym	rainfed
deymi	homebred
deymkāri	dry farming
deymāh	January; Iran. Calendar, 10th month
deyn	debt; amount due
deyr	monastery; convent
dež	stronghold; fortress; fort; castle
dežbān	military police; castellan
dežxim	hangman; executioner; headsman
dešne	sticker; stiletto; stylet; dirk; bowie knife; spit; dagger
degar	other
degarandiš	dissident
degarandiši	dissent
degarbāre	again
degardis	metamorphic
degardisi	metamorphosis; metamorphose; deformation
degarsāzi	transformation
degargun	change; dissimilar; vicissitudinous
degarguni	transformation; change; alteration; variation; metamorphosis; mutation
degargunšode	changed
dibāce	introduction; preamble; preface
did	view; vision; seeing
didan	see; view; sight; vision; look; contemplate;  view;  sight;  vision;  look;  behold; behold; notice; perceive
didan (bin)	see; view; look; notice
didan kardan	visit
didani	visual; visitable; seeable; worth seeing
didanihā	sights
dide	seen; eye
didebān	watch; signalman
didebāni	espial
didegān	eyes
didobāzdid	visiting; visits and return visits
didobāzdid kardan	visit
didār	visit; visitation
didār kardan	meet up
didār-e mokarrar kardan	haunt
didāri	visual
didārkonande	visitor
difrānsiyel	differential
difteri	diphtheria
dig	pot; cauldron
dig-e boxār	boiler
dig-e zudpaz	pressure cooker
digar	other; another; further; again; anymore; else; thence
digari	other
digarān	rest
dijitāl	digital
dikte	dictation
dikte kardan	dictate
diktātor	dictator; pendragon
diktātori	dictatorship
dikšeneri	dictionary
dilmāj	translator; dragoman
din	religion; faith
din (adyān)	religion; faith
din-e Masih	Christianity
dindār	religious; devout; inward; faithful
dindāri	religiosity
dini	religious
dinmik	dynamics
dinmit	dynamite; tambour
dinām	dynamo; generator
dioksid	dioxide
dioksidekarbon	carbon dioxide
diplom	diploma
diplome	graduate; high school graduate
diplomāsi	diplomacy
diplomāt	diplomat
diplomātik	diplomatic
dir	late; long; ancient
dir kardan	being delayed
dir raftan	linger
dir residan	being late
dir yā zud	sooner or later
dir āmadan	being late
dir šodan	being late
dirbedir	infrequently
dirbāz	a long time ago
dirhengām	late
dirin	immemorial; bygone
dirine	old; ancient; chronic
diruz	yesterday
diruz sobh	yesterday morning
dirvaqt	late time; late; late at night
dis	platter; form; plate
disiplin	discipline
disk	disc; disk; discus
disk-e fešorde	CD
disko	disco
diskotek	disco; discotheque
diskgardān	drive
div	demon; bogey; goblin
divān	court; bureau; tribunal
divāne	crazy; mad; insane; madcap; berserker
divānegi	madness; craze
divānegi-ye mahz	pure madness; sheer madness
divānevār	crazy; maniac; frenzied
divāne kardan	craze; derange; distract; frenzy; madden; moon
divānegi	madness; insanity; frenzy;  insanity;  frenzy;  dementia;  craziness;  rage
divānsālār	bureaucrat
divānsālāri	bureaucracy
divānxāne	forum
divār	wall; fence; bulkhead; curtain; enclosure; screen
divār kešidan	wall
Divār-e Berlin	Berlin Wall
Divār-e Nodbe	wailing wall
divāre	parapet; septum; rim
divāri	mural; walled; parietal
divārkeši	fencing
divārnevis	graffiti
diye	blood money; atonement; wergild
diyāfrāgm	diaphragm
diyāfrāgm	diaphragm; shutter
diyāliz	dialysis
diyānat	honesty
diyār	country; land; region
diyāgeram	diagrams
dizel	diesel
dišab	last night; yestreen
dig	pot; cauldron; furnace
digar	other; another; further; else; again
digarbār	again
digari	another; other; t'other
do	two; twain
do adad	two; two pieces
do bār	two times
do bār towlid kardan	reproduce
do martabe	two times
do nim kardan	bisect; cut; halve; split
do ra's gāv	two cows
do tā	two; two pieces
dobarābar	double; twice; twofold; diploid
dobarābar kardan	double; redouble; reduplicate
dobaxši	two syllabubs; dichotomous; split; bisection
dobedo	pairwise
dobeyti	couplet; distich
dobo'di	two-dimensional
dobānde	dual; two-lane
dobāre	again; anew; afresh; bis
dobāre anjām dādan	repeat; re-do
dobāre be dast āvardan	regain; recoup; recover; resume; retrieve
dobāre cāp kardan	republish; revise
dobāre dastebandi kardan	resort
dobāre didan	reunion; meet again; see so./sth. Again
dobāre dāyer šodan	revive
dobāre goftan	iterate; repeat
dobāre peydā kardan	regain
dobāre ravāj peydā kardan	revive
dobāre residan be	regain
dobāre sāxtan	reproduce; make over; rehabilitate; repeat
dobāre sāxtemān kardan	rebuild
dobārekāri	rework
dobārenevisi	rewriting
dobāresāxte	rebuild
dobāresāzi	rebuild
docandān	too; reduplicate
docarxe	bike; cart; bicycle
docarxe-ye mosābeqei	racing bicycle; racing bike
docarxesavār	cyclist; bicyclist
docarxesavāri	cycling
docarxesavāri kardan	bicycle
docār	with; stricken; afoul
docār kardan	embroil; swamp; trouble; infect
docār šodan	catch
docār-e ezmehlāl šodan	collapse
docār-e hamle šodan	seize
docār-e harās-e saxt šodan	shock
docār-e vasvase kardan	tempt
dodastegi	bipartisan
dodel	not sure; hesitant; indecisive; uncertain; undecided
dodeli	dudley; hesitance; indecision; vacillation; doubt; hesitancy; acatalepsy; uncertainty
doduze	duplicity
dofarhangi	bicultural
dohol	drum; timpani; kettledrum
dohol zadan	drum
dojedāre	two shells
dojeldi	two-volume
dojensi	androgyny
dojin	dozen
dojānebe	mutual; bilateral; reciprocal
dokkān	shop; store
dokkān-e baqqāli	grocery
dokkān-e qassābi	butcher shop
dokkāndār	shopkeeper; storekeeper; tradesman
dokme	button; knob; gemma
dokme andāxtan	button
dokme-ye ciz-i rā bastan	button
dokmefešāri	push-button; snap
dokohāne	bactrian
doktor	doctor; medico
doktor-e kešik	emergency doctor
doktor-e uržāns	emergency doctor
doktori	ph.d.
doktorin	doctrine
doktorā	phd; Ph.D.; doctorate
dokān	shop; store; boutique
dolabe	double edge; bilabial; bilobate
dollā	double; ducked
dollā šodan	bend down; stoop down
dolā	double; dual; duplex; geminate; reclinate; two-ply; double layers
dolā kardan	bend; double; double up; ply
dolā šodan	crouch; stoop; hunker; double up
Dolār	dollar; buck
dom	tail; bellows
dom-e asb	ponytail
domal	boil; wen; abscess; blain; blotch
domanzure	dual purpose
domartabe	twice; again
domasbi	ponytail
dombak	tabor
domdār	tailed; choky
domeasbi	ponytail
domino	domino
domāhe	bimestrial
domgāh	forge
donafare	doubles; twosome
donafari	couple; twosome
donbe	tail
donbāl	follow; pursuit; rear; attachment
donbāl gaštan	look for
donbāl gaštan (gard)	look for
donbāl kardan	pursue; follow; track; trace; chase; follow out; following; prosecute
donbāl āmadan (ā)	follow
donbāl(-e)	follow; after
donbāl-e kas-i gozāštan	pursuit
donbāle	sequence; trail; tail; series; sequel; suite; train
donbāle-ye kešti	wake
donbāledār	comet; protracted
donbāledār budan	trail
